Name,Definition
account_management,"tag=account (tag=management OR tag=lockout) | tags outputfield=tag | fillnull value=unknown signature,src,src_nt_domain,src_user,dest,dest_nt_domain,user"
active_directory_lateral_movement_identified_filter,search *
active_directory_privilege_escalation_identified_filter,search *
active_setup_registry_autostart_filter,search *
add_defaultuser_and_password_in_registry_filter,search *
add_dm_object_name(1),"rename * as ""$object$.*"""
add_entity_source(2),"inputlookup append=T ""$lookup$"" | fillnull value=""$name$"" _source"
add_events(1),sendalert add_events param.incident_id=$incident_id$
add_normalized_risk_object,"eval normalized_risk_object=case(ISNOTNULL(risk_object_asset), mvindex(risk_object_asset, 0), ISNOTNULL(risk_object_identity), mvindex(risk_object_identity, 0), TRUE(), risk_object).IF(ISNOTNULL(cim_entity_zone), ""_"".cim_entity_zone, """")"
add_or_set_windows_defender_exclusion_filter,search *
admon,source=ActiveDirectory
adsisearcher_account_discovery_filter,search *
alexa_lookup,`alexa_lookup(src)` | `alexa_lookup(dest)`
alexa_lookup(1),"lookup local=true alexa_lookup_by_str domain AS ""$infield$"" OUTPUTNEW rank AS ""$infield$_rank"""
all_default_account_usage(2),"`default_user_accounts` | eval ""$default_account$""=case(src_user_category==""default"",src_user,user_category==""default"",user,1=1,'$default_account$') | eval ""$default_account_system$""=case(src_user_category==""default"",src,user_category==""default"",dest,1=1,'$default_account_system$')"
all_threat_intel,`email_intel` | `file_intel` | `process_intel` | `registry_intel` | `service_intel` | `user_intel` | `http_intel` | `ip_intel` | `certificate_intel`
all_threat_intel_by_threat_key(1),`email_intel_by_threat_key($threat_key$)` | `file_intel_by_threat_key($threat_key$)` | `process_intel_by_threat_key($threat_key$)` | `registry_intel_by_threat_key($threat_key$)` | `service_intel_by_threat_key($threat_key$)` | `user_intel_by_threat_key($threat_key$)` | `http_intel_by_threat_key($threat_key$)` | `ip_intel_by_threat_key($threat_key$)` | `certificate_intel_by_threat_key($threat_key$)`
all_threat_intel_stats,"`all_threat_intel` | stats [| rest splunk_server=local count=0 /services/admin/macros search=""name=*_intel_stats NOT name=all_threat_intel_stats"" | `makemv(definition,"","")` | stats values(definition) as search | `makesv(search,"","")`] | addtotals fieldname=count | table count"
all_threat_intel_stats_by_threat_key,"`all_threat_intel` | stats [| rest splunk_server=local count=0 /services/admin/macros search=""name=*_intel_stats NOT name=all_threat_intel_stats"" | `makemv(definition,"","")` | stats values(definition) as search | `makesv(search,"","")`] by threat_key | addtotals fieldname=count | table threat_key,count"
allow_file_and_printing_sharing_in_firewall_filter,search *
allow_inbound_traffic_by_firewall_rule_registry_filter,search *
allow_inbound_traffic_in_firewall_rule_filter,search *
allow_network_discovery_in_firewall_filter,search *
allow_old_summaries_bool,TRUE
allow_operation_with_consent_admin_filter,search *
amazon_eks_kubernetes_cluster_scan_detection_filter,search *
amazon_eks_kubernetes_pod_scan_detection_filter,search *
amazon_security_lake,sourcetype=aws:asl
anomalous_usage_of_7zip_filter,search *
any_powershell_downloadfile_filter,search *
any_powershell_downloadstring_filter,search *
asl_aws_concurrent_sessions_from_different_ips_filter,search *
asl_aws_createaccesskey_filter,search *
asl_aws_defense_evasion_delete_cloudtrail_filter,search *
asl_aws_defense_evasion_delete_cloudwatch_log_group_filter,search *
asl_aws_defense_evasion_impair_security_services_filter,search *
asl_aws_excessive_security_scanning_filter,search *
asl_aws_iam_delete_policy_filter,search *
asl_aws_multi_factor_authentication_disabled_filter,search *
asl_aws_new_mfa_method_registered_for_user_filter,search *
asl_aws_password_policy_changes_filter,search *
asn_lookup,`asn_lookup(src)` | `asn_lookup(dest)`
asn_lookup(1),"lookup local=true asn_lookup_by_str ip AS ""$infield$"" OUTPUTNEW description AS ""$infield$_asn"" | lookup local=true asn_lookup_by_cidr ip AS ""$infield$"" OUTPUTNEW description AS ""$infield$_asn"""
asset_categories,"inputlookup append=T category_lookup WHERE category_source!=""identity"" | `lower(category)` | dedup category | sort + category | fields category"
asset_eventcount,"`assets` | join type=outer asset_id [| `host_eventcount` | `hourDiff` | rename host_asset_id as asset_id | fields asset_id,firstTime,lastTime,hourDiff,dayDiff]"
asset_fields,"asset,asset_tag,bunit,category,city,country,dns,ip,is_expected,lat,long,mac,nt_host,owner,pci_domain,priority,requires_av,should_timesync,should_update"
asset_search(1),"`get_subject(""dest"", $val$)` OR `get_subject(""dvc"", $val$)` OR `get_subject(""host"", $val$)` OR `get_subject(""orig_host"", $val$)` OR `get_subject(""src"", $val$)`"
asset_sources,inputlookup append=t Nexpose_CaptionCall_Asset_Lookup | inputlookup append=t ivanti_sorenson_asset_ctrl_lookup | inputlookup append=t ivanti_sorenson_assets_lookup
assets,"inputlookup append=T asset_lookup_by_str | inputlookup append=T asset_lookup_by_cidr | rename _key as asset_id,asset_tag as tag"
assets(1),"inputlookup append=T asset_lookup_by_str where $filters$ | inputlookup append=T asset_lookup_by_cidr where $filters$ | rename _key as asset_id, asset_tag as tag"
attacker_tools_on_endpoint_filter,search *
attempt_to_add_certificate_to_untrusted_store_filter,search *
attempt_to_stop_security_service_filter,search *
attempted_credential_dump_from_registry_via_reg_exe_filter,search *
audit_rexsearch,"rex ""search='(?<search>.*?)', autojoin"""
audit_searches,index=_audit sourcetype=audittrail action=search
audit_searchlocal,"`audit_searchlocal(""search_id!=rt_*"")`"
audit_searchlocal(1),"search index=_audit action=search (id=* OR search_id=*) | eval search_id = if(isnull(search_id), id, search_id) | replace '*' with * in search_id | search $filter$"
audittrail,index=_audit sourcetype=audittrail
authentication,"tag=authentication NOT (action=success user=*$) | tags outputfield=tag | fillnull value=unknown action,app,src,src_user,dest,user"
authentication(1),`authentication` | search action=$action$
auto_admin_logon_registry_entry_filter,search *
auto_update_context(5),"[ | xsgetcontextfields $context$ IN $container$ SCOPED $scope$ FIELDS search | return $search ] | `context_stats($field$, ""$classList$"")` | xsupdateDDcontext name=$context$ container=$container$ class=""$classList$"" scope=$scope$"
autopause,120
aws-account-index,index=summary sourcetype=aws:addon:account source=Splunk_TA_aws
aws-cloudtrail(2),`aws-index` $accountId$ $region$
aws-config-resources(3),"`aws-index` $accountId$ resourceType=""$resourceType$"" | dedup resourceId sortby -_time | where configurationItemStatus!=""ResourceDeleted"" | search $region$"
aws-index,index = `aws-index-value`
aws-index-value,aws_security
aws-input-index,index=summary sourcetype=aws:addon:input source=Splunk_TA_aws
aws-security-accesslog-sourcetype(1),"`aws-security-s3-index` sourcetype=""aws:$resource$:accesslogs"""
aws-security-account-summary,"sourcetype=""aws:addon:account"" | dedup host, account_id, name"
aws-security-addon-account-index,(index=summary)
aws-security-addon-input-index,(index=summary)
aws-security-cloudtrail(2),`aws-security-cloudtrail-sourcetype` $accountId$ $region$
aws-security-cloudtrail-index,"(index=""main"" OR `aws-security-s3-index`)"
aws-security-cloudtrail-service(2),"lookup aws_security_all_eventName eventName OUTPUT function | fillnull value=""N/A"" function | search function=""$service$"" | eval notable=if(match(eventName, ""(^Get*|^List*|^Describe*)""), 0, 1) | search notable=$notable$"
aws-security-cloudtrail-sourcetype,"`aws-security-cloudtrail-index` sourcetype=""aws:cloudtrail"""
aws-security-cloudwatch-logs-index,"(index=""main"")"
aws-security-config-index,"(index=""main"" OR `aws-security-s3-index`)"
aws-security-config-notification(2),`aws-security-config-notification-sourcetype` $accountId$ $region$
aws-security-config-notification-sourcetype,"`aws-security-config-index` sourcetype=""aws:config:notification"""
aws-security-config-resources(3),"`aws-security-config-sourcetype` $accountId$ resourceType=""$resourceType$"" | dedup resourceId sortby -_time | where configurationItemStatus!=""ResourceDeleted"" | search $region$"
aws-security-config-sourcetype,"`aws-security-config-index` sourcetype=""aws:config"""
aws-security-description(4),"`aws-security-description-sourcetype` $accountId$ $region$ source=""*:$resource$"" | eventstats latest(_time) as latest_time | eval latest_time=relative_time(latest_time,""-55m"") | where _time > latest_time | dedup $dedupfield$ sortby -_time"
aws-security-description-index,"(index=""main"")"
aws-security-description-resource(3),"`aws-security-description-sourcetype` $accountId$ $region$ source=""*:$resource$"" | eventstats latest(_time) as latest_time | eval latest_time=relative_time(latest_time,""-55m"") | where _time > latest_time | dedup id sortby -start_time"
aws-security-description-sourcetype,"`aws-security-description-index` sourcetype=""aws:description"""
aws-security-internal-index,"(index=""_internal"")"
aws-security-key-rotation-iam(1),"`aws-security-description(($accountId$), (""*""), ""iam_users"", ""Arn"")` | spath output=AccessKeys path=AccessKeys{} | eval AccessKeys=mvfilter(match(AccessKeys,"".*\""Status\"": \""Active\"",*"")) | fields account_id UserName AccessKeys | mvexpand AccessKeys | rex field=AccessKeys "".*CreateDate\"": \""(?<CreateDate>[^\""]*)"" | eval CreateDay=strptime(CreateDate, ""%FT%T""), diff_days=(now()-CreateDay)/86400 | where diff_days > 90 |fields account_id UserName CreateDate | mvcombine CreateDate | eval insight=""IAM access key rotation"""
aws-security-large-number-rules-sg(2),"`aws-security-description-resource(($accountId$), ($region$), ""ec2_security_groups"")` | spath output=inbound path=rules{}.grants{} | spath output=outbound path=rules_egress{}.grants{} | eval inbound_count=mvcount(inbound), outbound_count=mvcount(outbound), total_count = inbound_count+outbound_count | where (isnotnull(vpc_id) AND total_count > 50) OR (isnull(vpc_id) AND total_count > 100) | eval insight=""Large number of rules"""
aws-security-long-unused-iam(1),"`aws-security-description(($accountId$), (""*""), ""iam_users"", ""Arn"")` | spath output=AccessKeys path=AccessKeys{} | eval AccessKeys=mvfilter(match(AccessKeys,"".*\""Status\"": \""Active\"",*"")) | fields account_id UserName AccessKeys PasswordLastUsed | mvexpand AccessKeys | rex field=AccessKeys "".*LastUsedDate\"": \""(?<LastUsedDate>[^\""]*)"" | eval ak_used_day=strptime(LastUsedDate, ""%FT%T""), ps_used_day=strptime(PasswordLastUsed, ""%FT%T""), recent_used_day=max(ak_used_day,ps_used_day), diff_days=(now()-recent_used_day)/86400 | stats min(diff_days) as no_used_days by UserName, account_id | where no_used_days > 30 | eval insight=""User is unused for long time"""
aws-security-password-policy-iam(1),"`aws-security-description(($accountId$), (""*""), ""iam_users"", ""Arn"")` | dedup account_id | rename PasswordPolicy.AllowUsersToChangePassword as policy, PasswordPolicy.PasswordReusePrevention as reuse | where isnull(policy) OR isnull(reuse) | eval insight=if(isnull(policy), ""No password policy"", ""Password reuse is not prevented""), UserName=""Root Account"""
aws-security-pretty-print(1),"eval $field$=case(($field$>999999999 OR $field$<-999999999), tostring(round($field$/1000000000, 1))+""B"", ($field$>99999 OR $field$<-99999), tostring(round($field$/1000000, 1))+""M"", ($field$>999 OR $field$<-999), tostring(round($field$/1000, 1))+""K"", true(), $field$)"
aws-security-redundant-sg(2),"`aws-security-description-resource(($accountId$), ($region$), ""ec2_security_groups"")` | spath output=inbound path=rules{} | spath output=outbound path=rules_egress{} | rename inbound as rules | `aws-security-redundant-sg-helper` | stats values(parameter) as inbound, values(outbound) as rules by account_id, id, region, vpc_id | `aws-security-redundant-sg-helper` | stats values(parameter) as outbound, values(inbound) as inbound by account_id, id, region, vpc_id | eval inbound=mvsort(inbound), outbound=mvsort(outbound) | fields account_id, id, region, inbound, outbound, vpc_id | mvcombine id | eval id_count=mvcount(id), same_ids=id, id=mvindex(id,0) | where id_count > 1 | eval insight=""Redundant security groups"""
aws-security-redundant-sg-helper,"mvexpand rules | rex field=rules "".*\[{(?<grants>[^\]]+).*"" | eval grants_len=len(grants), grants=substr(grants,1,grants_len-2), grants=split(grants, ""}, {""), grants=mvsort(grants), grants=mvjoin(grants, "",""), parameter=replace(rules, "", \""grants\"".*]"", """") + grants"
aws-security-s3-index,"(index=""main"")"
aws-security-sourcetype-index-summary,"sourcetype=""aws:addon:input"" earliest=-1d | dedup input_sourcetype, input_index | table input_sourcetype, input_index"
aws-security-specific-ports-unrestricted-sg(2),"`aws-security-description-resource(($accountId$), ($region$), ""ec2_security_groups"")` | spath output=inbound path=rules{} | mvexpand inbound | regex inbound="".*cidr_ip\"": \""0.0.0.0/0.*"" | rex field=inbound "".*to_port\"": [\""]*(?<to_port>[^\"",}]*).*"" |rex field=inbound "".*from_port\"": [\""]*(?<from_port>[^\"",}]*).*"" | fields account_id, region, id, vpc_id, to_port, from_port | where [| inputlookup aws_security_sg_ports | search risk=""high"" | eval searchstr=""from_port<="".port."" AND to_port>="".port | return 100 $searchstr] | eval insight=""Unrestricted access on specific ports"", port=if(from_port=to_port, from_port, from_port."" - "".to_port) | fields - to_port, from_port | mvcombine port"
aws-security-unrestricted-access-sg(2),"`aws-security-description-resource(($accountId$), ($region$), ""ec2_security_groups"")` | spath output=inbound path=rules{} | mvexpand inbound | regex inbound="".*cidr_ip\"": \""0.0.0.0/0.*"" | rex field=inbound "".*to_port\"": [\""]*(?<to_port>[^\"",}]*).*"" |rex field=inbound "".*from_port\"": [\""]*(?<from_port>[^\"",}]*).*"" | fields account_id, region, id, vpc_id, to_port, from_port | where NOT ( [| inputlookup aws_security_sg_ports | eval searchstr=""from_port="".port."" AND to_port="".port | return 100 $searchstr] ) | eval insight=""Unrestricted access"", port=if(from_port=to_port, from_port, from_port."" ~ "".to_port) | fields - to_port, from_port | mvcombine port"
aws-security-unused-sg(2),"`aws-security-description-resource(($accountId$), ($region$), ""ec2_security_groups"")` | spath output=instances path=instances{}.id | eval instances_count=mvcount(instances) | where isnull(instances_count) | eval insight=""Unused security group"" | fields account_id, region, name, id, vpc_id, insight"
aws-security-vpc-flow(4),`aws-security-vpc-flow-sourcetype` $accountId$ $interfaces$ vpcflow_action=$vpcflow_action$ protocol=$protocol$
aws-security-vpc-flow-log-index,"index=""aws_vpc_flow_logs"""
aws-security-vpc-flow-sourcetype,"`aws-security-cloudwatch-logs-index` sourcetype=""aws:cloudwatchlogs:vpcflow"""
aws_ami_atttribute_modification_for_exfiltration_filter,search *
aws_cloud_provisioning_from_previously_unseen_city_filter,search *
aws_cloud_provisioning_from_previously_unseen_country_filter,search *
aws_cloud_provisioning_from_previously_unseen_ip_address_filter,search *
aws_cloud_provisioning_from_previously_unseen_region_filter,search *
aws_cloudwatchlogs_eks,"sourcetype=""aws:cloudwatchlogs:eks"""
aws_concurrent_sessions_from_different_ips_filter,search *
aws_config,sourcetype=aws:config
aws_console_login_failed_during_mfa_challenge_filter,search *
aws_create_policy_version_to_allow_all_resources_filter,search *
aws_createaccesskey_filter,search *
aws_createloginprofile_filter,search *
aws_credential_access_failed_login_filter,search *
aws_credential_access_getpassworddata_filter,search *
aws_credential_access_rds_password_reset_filter,search *
aws_cross_account_activity_from_previously_unseen_account_filter,search *
aws_defense_evasion_delete_cloudtrail_filter,search *
aws_defense_evasion_delete_cloudwatch_log_group_filter,search *
aws_defense_evasion_impair_security_services_filter,search *
aws_defense_evasion_putbucketlifecycle_filter,search *
aws_defense_evasion_stop_logging_cloudtrail_filter,search *
aws_defense_evasion_update_cloudtrail_filter,search *
aws_description,"sourcetype=""aws:description"""
aws_detect_attach_to_role_policy_filter,search *
aws_detect_permanent_key_creation_filter,search *
aws_detect_role_creation_filter,search *
aws_detect_sts_assume_role_abuse_filter,search *
aws_detect_sts_get_session_token_abuse_filter,search *
aws_detect_users_creating_keys_with_encrypt_policy_without_mfa_filter,search *
aws_detect_users_with_kms_keys_performing_encryption_s3_filter,search *
aws_disable_bucket_versioning_filter,search *
aws_ec2_snapshot_shared_externally_filter,search *
aws_ecr_container_scanning_findings_high_filter,search *
aws_ecr_container_scanning_findings_low_informational_unknown_filter,search *
aws_ecr_container_scanning_findings_medium_filter,search *
aws_ecr_container_upload_outside_business_hours_filter,search *
aws_ecr_container_upload_unknown_user_filter,search *
aws_ecr_users,userName IN (user)
aws_eks_kubernetes_cluster_sensitive_object_access_filter,search *
aws_excessive_security_scanning_filter,search *
aws_exfiltration_via_anomalous_getobject_api_activity_filter,search *
aws_exfiltration_via_batch_service_filter,search *
aws_exfiltration_via_bucket_replication_filter,search *
aws_exfiltration_via_datasync_task_filter,search *
aws_exfiltration_via_ec2_snapshot_filter,search *
aws_high_number_of_failed_authentications_for_user_filter,search *
aws_high_number_of_failed_authentications_from_ip_filter,search *
aws_iam_accessdenied_discovery_events_filter,search *
aws_iam_assume_role_policy_brute_force_filter,search *
aws_iam_delete_policy_filter,search *
aws_iam_failure_group_deletion_filter,search *
aws_iam_successful_group_deletion_filter,search *
aws_lambda_updatefunctioncode_filter,search *
aws_multi_factor_authentication_disabled_filter,search *
aws_multiple_failed_mfa_requests_for_user_filter,search *
aws_multiple_users_failing_to_authenticate_from_ip_filter,search *
aws_network_access_control_list_created_with_all_open_ports_filter,search *
aws_network_access_control_list_deleted_filter,search *
aws_new_mfa_method_registered_for_user_filter,search *
aws_password_policy_changes_filter,search *
aws_s3_accesslogs,sourcetype=aws:s3:accesslogs
aws_s3_exfiltration_behavior_identified_filter,search *
aws_saml_access_by_provider_user_and_principal_filter,search *
aws_saml_update_identity_provider_filter,search *
aws_securityhub_finding,"sourcetype=""aws:securityhub:finding"""
aws_securityhub_firehose,"sourcetype=""aws:securityhub:firehose"""
aws_setdefaultpolicyversion_filter,search *
aws_successful_console_authentication_from_multiple_ips_filter,search *
aws_successful_single_factor_authentication_filter,search *
aws_unusual_number_of_failed_authentications_from_ip_filter,search *
aws_updateloginprofile_filter,search *
azure_active_directory_high_risk_sign_in_filter,search *
azure_ad_application_administrator_role_assigned_filter,search *
azure_ad_authentication_failed_during_mfa_challenge_filter,search *
azure_ad_concurrent_sessions_from_different_ips_filter,search *
azure_ad_external_guest_user_invited_filter,search *
azure_ad_global_administrator_role_assigned_filter,search *
azure_ad_high_number_of_failed_authentications_for_user_filter,search *
azure_ad_high_number_of_failed_authentications_from_ip_filter,search *
azure_ad_multi_factor_authentication_disabled_filter,search *
azure_ad_multiple_failed_mfa_requests_for_user_filter,search *
azure_ad_multiple_users_failing_to_authenticate_from_ip_filter,search *
azure_ad_new_custom_domain_added_filter,search *
azure_ad_new_federated_domain_added_filter,search *
azure_ad_new_mfa_method_registered_for_user_filter,search *
azure_ad_pim_role_assigned_filter,search *
azure_ad_pim_role_assignment_activated_filter,search *
azure_ad_privileged_authentication_administrator_role_assigned_filter,search *
azure_ad_privileged_role_assigned_filter,search *
azure_ad_privileged_role_assigned_to_service_principal_filter,search *
azure_ad_service_principal_created_filter,search *
azure_ad_service_principal_new_client_credentials_filter,search *
azure_ad_service_principal_owner_added_filter,search *
azure_ad_successful_authentication_from_different_ips_filter,search *
azure_ad_successful_powershell_authentication_filter,search *
azure_ad_successful_single_factor_authentication_filter,search *
azure_ad_unusual_number_of_failed_authentications_from_ip_filter,search *
azure_ad_user_enabled_and_password_reset_filter,search *
azure_ad_user_immutableid_attribute_updated_filter,search *
azure_audit,sourcetype=mscs:azure:audit
azure_automation_account_created_filter,search *
azure_automation_runbook_created_filter,search *
azure_runbook_webhook_created_filter,search *
azuread,sourcetype=mscs:azure:eventhub
batch_file_write_to_system32_filter,search *
bcdedit_command_back_to_normal_mode_boot_filter,search *
bcdedit_failure_recovery_modification_filter,search *
bilinearInterpolateColorGradient(7),"| eval _x = $x$ | eval _y = $y$ | eval _col00 = $col00$ | eval _colX0 = $colX0$ | eval _col0Y = $col0Y$ | eval _colXY = $colXY$ `interpolateColor(_col00, _colX0, _x, ""_outcolorB"")` `interpolateColor(_col0Y, _colXY, _x, ""_outcolorT"")` `interpolateColor(_outcolorB, _outcolorT, _y, ""_outcolor"")` | eval $outcolorfieldname$ = _outcolor"
bits_job_persistence_filter,search *
bitsadmin_download_file_filter,search *
bogonlist_lookup,`bogonlist_lookup(src)` | `bogonlist_lookup(dest)`
bogonlist_lookup(1),"lookup local=true bogonlist_lookup_by_cidr ip AS ""$infield$"" OUTPUTNEW is_bogon AS ""$infield$_is_bogon"",is_internal AS ""$infield$_is_internal"""
bogonlist_src_dest_subsearch(1),"[| inputlookup bogonlist_lookup_by_cidr where NOT is_internal=""true"" | eval ""$lineage$.src""=ip, ""$lineage$.dest""=ip | fields ""$lineage$.src"" ""$lineage$.dest"" | format """" """" ""OR"" """" ""OR"" """"]"
bootloader_inventory,sourcetype = PwSh:bootloader
boxplot,"untable _x field_name value | stats min exactperc25 median exactperc75 max by field_name | untable field_name calculations value | xyseries calculations field_name value | eval calculations = rtrim(calculations, ""(value)"")"
brand_abuse_dns,lookup update=true brandMonitoring_lookup domain as query OUTPUT domain_abuse | search domain_abuse=true
brand_abuse_email,lookup update=true brandMonitoring_lookup domain as src_user OUTPUT domain_abuse | search domain_abuse=true
brand_abuse_web,lookup update=true brandMonitoring_lookup domain as urls OUTPUT domain_abuse | search domain_abuse=true
by_token,"BY """""
by_token(1),"if(isnotnull(classList) and len(classList) > 0, ""by "" . classList, """")"
bytes2gbytes(1),"`bytes2gbytes($field$,$field$)`"
bytes2gbytes(2),"eval ""$outField$""='$inField$'/1073741824"
bytes2kbytes(1),"`bytes2kbytes($field$,$field$)`"
bytes2kbytes(2),"eval ""$outField$""='$inField$'/1024"
bytes2mbytes(1),"`bytes2mbytes($field$,$field$)`"
bytes2mbytes(2),"eval ""$outField$""='$inField$'/1048576"
cam_action_modes,inputlookup append=T cam_action_mode_lookup | eval action_mode=lower(action_mode) | dedup action_mode | sort + action_mode
cam_action_statuses,inputlookup append=T cam_action_status_lookup | eval action_status=lower(action_status) | dedup action_status | sort + action_status
cam_categories,inputlookup append=T cam_category_lookup | dedup category | sort + category
cam_subjects,inputlookup append=T cam_subject_lookup | eval subject=lower(subject) | dedup subject | sort + subject
cam_tasks,inputlookup append=T cam_task_lookup | eval task=lower(task) | dedup task | sort + task
cam_workers,"inputlookup append=T cam_worker_lookup | append[| makeresults | eval worker_set=""local"",cam_workers=""[\""local\""]""] | dedup worker_set | spath input=cam_workers | where isnotnull('{}') | table worker_set,cam_workers | sort + worker_set"
capi2_operational,(source=XmlWinEventLog:Microsoft-Windows-CAPI2/Operational)
categories,inputlookup append=T category_lookup | `lower(category)` | dedup category | sort + category | fields category
certificate_intel,`certificate_intel_by_threat_key(*)`
certificate_intel_by_threat_key(1),"inputlookup append=T certificate_intel where threat_key=""$threat_key$"" | fillnull value=0 updated,disabled | `set_threat_collection_name(""certificate_intel"")` | mvexpand certificate_serial | `get_threat_attribution_weight(threat_key)`"
certificate_intel_stats,"dc(certificate_serial),dc(certificate_issuer_common_name),dc(certificate_issuer_email),dc(certificate_issuer_organization),dc(certificate_issuer_unit),dc(certificate_subject_common_name),dc(certificate_subject_email),dc(certificate_subject_organization),dc(certificate_subject_unit),dc(certificate_file_hash),dc(ip),dc(domain)"
certificate_tracker,inputlookup append=T certificate_tracker
certificateservices_lifecycle,(source=XmlWinEventLog:Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational OR source=XmlWinEventLog:Microsoft-Windows-CertificateServicesClient-Lifecycle-User/Operational)
certutil_download_with_urlcache_and_split_arguments_filter,search *
certutil_download_with_verifyctl_and_split_arguments_filter,search *
certutil_exe_certificate_extraction_filter,search *
certutil_with_decode_argument_filter,search *
change_default_file_association_filter,search *
change_to_safe_mode_with_network_config_filter,search *
chcp_command_execution_filter,search *
check_elevated_cmd_using_whoami_filter,search *
child_processes_of_spoolsv_exe_filter,search *
cim_Alerts_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog OR index=msad OR index=firewall OR index=network OR index=perfmon OR index=wineventlog OR index=cc_ise)
cim_Application_State_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog OR index=cc_ise)
cim_Authentication_indexes,(index=wineventlog OR index=cc_wineventlog OR index=nix OR index=cc_nix OR index=office365 OR index=cc_office365 OR index=azure OR index=azuread OR index=cc_azure OR index=cc_azuread OR index=network OR index=ise OR index=cc_ise OR index=velocloud OR index=indeo_azuread OR index=indeo_office365 OR index=ping)
cim_Certificates_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog)
cim_Change_Analysis_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog OR index=office365 OR index=cc_office365 OR index=azuread OR index=azure OR index=cc_azuread OR index=cc_azure OR index=firewall OR index=msad OR index=network OR index=cc_ise OR index=indeo_azuread OR index=indeo_office365)
cim_Change_indexes,(index=wineventlog OR index=cc_wineventlog OR index=cc_network OR index=nix OR index=cc_nix OR index=azure OR index=azuread OR index=cc_azuread OR index=cc_azure OR index=cc_office365 OR index=office365 OR index=network OR index=cc_ise)
cim_Compute_Inventory_indexes,(index=cc_perfmon OR index= perfmon OR index= ivanti OR index= cc_ivanti)
cim_DLP_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog)
cim_Data_Access_indexes,()
cim_Databases_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog)
cim_Email_indexes,(index=cc_firewall OR index=cc_msad OR index=cc_network OR index=cc_perfmon OR index=cc_wineventlog)
